"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Verifies the absence of duplicates in the v_agg_data view. Duplicates may indicate issues in the data collection or processing process.
","1369","test_no_duplicates_in_view","tests","Fri Nov 08 16:47:28 UTC 2024","failed","Fri Nov 08 16:47:30 UTC 2024","","test_v_agg_data","",""
"
Verifies that all device models from the agg_data table have corresponding entries in the device_segments table.
Uses the UPPER() function to ignore case sensitivity.
","1862","test_device_models_match","tests","Fri Nov 08 16:47:14 UTC 2024","passed","Fri Nov 08 16:47:16 UTC 2024","","test_data_in_tables","",""
"Testing that the application installation dates are within the expected range.","1201","test_date_range","tests","Fri Nov 08 16:47:32 UTC 2024","passed","Fri Nov 08 16:47:34 UTC 2024","","test_v_agg_data_additional","",""
"
Verifies the app_names table to ensure there are no duplicate app_ids where the same app_id is associated with different 
app_name or platform. 
","1332","test_app_names_no_duplicate_ids","tests","Fri Nov 08 16:47:22 UTC 2024","passed","Fri Nov 08 16:47:23 UTC 2024","","test_data_in_tables","",""
"
Verifies that 'non_target_device' is used in the v_agg_data view only when there are no device segments available in the device_segments table.
","1420","test_non_target_device_usage","tests","Fri Nov 08 16:47:31 UTC 2024","failed","Fri Nov 08 16:47:32 UTC 2024","","test_v_agg_data","",""
"Testing that there are no installations with zero or negative amounts.","1236","test_positive_installs","tests","Fri Nov 08 16:47:26 UTC 2024","passed","Fri Nov 08 16:47:27 UTC 2024","","test_v_agg_data","",""
"Testing that there are no app installations before January 1, 2020.","1511","test_install_date_post_2020","tests","Fri Nov 08 16:47:24 UTC 2024","passed","Fri Nov 08 16:47:26 UTC 2024","","test_v_agg_data","",""
"
Tests for application installs with undefined device models in the v_agg_data view.
","1250","test_undefined_device_model_installs","tests","Fri Nov 08 16:47:36 UTC 2024","failed","Fri Nov 08 16:47:37 UTC 2024","","test_v_agg_data_additional","",""
"
Tests the presence of corresponding entries in the device_segments table for each record in the agg_data table, 
ensuring data integrity between apps and devices.
","1611","test_missing_device_data","tests","Fri Nov 08 16:47:16 UTC 2024","failed","Fri Nov 08 16:47:18 UTC 2024","","test_data_in_tables","",""
"
Verifies that each device segment from v_agg_data exists in device_segments or is marked as 'non_target_device'.
","2001","test_v_agg_data_segment_existence","tests","Fri Nov 08 16:47:37 UTC 2024","passed","Fri Nov 08 16:47:39 UTC 2024","","test_v_agg_data_additional","",""
"
Ensures that there are no records in the agg_data table with an installation date earlier than January 1, 2020, 
ensuring the data's relevance and correctness.
","994","test_agg_data_date_range","tests","Fri Nov 08 16:47:19 UTC 2024","passed","Fri Nov 08 16:47:20 UTC 2024","","test_data_in_tables","",""
"
Verifies that the device segments specified in the v_agg_data view match those present in the device_segments table.
","1353","test_v_agg_data_proper_segment_use","tests","Fri Nov 08 16:47:30 UTC 2024","passed","Fri Nov 08 16:47:31 UTC 2024","","test_v_agg_data","",""
"
Tests for unrealistic high installation values in the v_agg_data view. 
Checks that for all applications, the total number of installs does not exceed the set threshold.
","1091","test_unrealistic_high_installs","tests","Fri Nov 08 16:47:35 UTC 2024","passed","Fri Nov 08 16:47:36 UTC 2024","","test_v_agg_data_additional","",""
"
Verifies that every app_id from the agg_data table has a corresponding entry in the app_names table, ensuring data 
consistency between tables.
","955","test_app_names_consistency","tests","Fri Nov 08 16:47:21 UTC 2024","passed","Fri Nov 08 16:47:22 UTC 2024","","test_data_in_tables","",""
"
Tests the data type consistency for the installs column in the v_agg_data view. 
Checks that all values are numeric and correctly cast to INT64.
","1071","test_data_type_consistency","tests","Fri Nov 08 16:47:34 UTC 2024","passed","Fri Nov 08 16:47:35 UTC 2024","","test_v_agg_data_additional","",""
"
Verifies the consistency between app names and platforms in the app_names and device_segments tables. 
This ensures that each app and its corresponding platform are correctly reflected in both tables, 
maintaining data integrity.
","965","test_app_names_platform_consistency","tests","Fri Nov 08 16:47:23 UTC 2024","failed","Fri Nov 08 16:47:24 UTC 2024","","test_data_in_tables","",""
"
Tests the absence of records with non-target device segments in the v_agg_data view. 
Non-target segments are those that are either unspecified or explicitly marked as 'non_target_device'.
","1390","test_non_target_device_segments_absent","tests","Fri Nov 08 16:47:27 UTC 2024","failed","Fri Nov 08 16:47:28 UTC 2024","","test_v_agg_data","",""
"
Ensures that all values in the installs column of the agg_data table are positive, thereby guaranteeing that the 
application installation data is valid and logical.
","975","test_agg_data_positive_installs","tests","Fri Nov 08 16:47:20 UTC 2024","passed","Fri Nov 08 16:47:21 UTC 2024","","test_data_in_tables","",""
"
Verifies the uniqueness of records in the device_segments table based on the combination of device_model and segment, 
ensuring no duplicates, which is critical for data integrity.
","983","test_device_segments_uniqueness","tests","Fri Nov 08 16:47:18 UTC 2024","failed","Fri Nov 08 16:47:19 UTC 2024","","test_data_in_tables","",""
